0	-1.3	0	0.02	8.43256e-07
0.05	-1.30425	-0.170026	0.02	8.40313e-07
0.1	-1.31688	-0.335327	0.02	8.36619e-07
0.15	-1.33743	-0.486552	0.02	8.32355e-07
0.2	-1.36496	-0.614786	0.02	8.27749e-07
0.25	-1.39814	-0.712037	0.02	8.23055e-07
0.3	-1.43523	-0.771728	0.02	8.18534e-07
0.35	-1.47425	-0.789158	0.02	8.14456e-07
0.4	-1.51303	-0.761901	0.02	8.11069e-07
0.45	-1.54933	-0.69007	0.02	8.08584e-07
0.5	-1.58099	-0.576422	0.02	8.07177e-07
0.55	-1.60606	-0.426269	0.02	8.06955e-07
0.6	-1.62289	-0.247222	0.02	8.07966e-07
0.65	-1.63029	-0.0487801	0.02	8.10189e-07
0.7	-1.62756	0.158181	0.02	8.13528e-07
0.75	-1.61456	0.361993	0.02	8.17827e-07
0.8	-1.59173	0.550831	0.02	8.22862e-07
0.85	-1.56013	0.713371	0.02	8.28364e-07
0.9	-1.52131	0.839472	0.02	8.34034e-07
0.95	-1.4773	0.920836	0.02	8.39545e-07
1	-1.43049	0.951592	0.02	8.44584e-07
1.05	-1.38348	0.928749	0.02	8.4885e-07
1.1	-1.33895	0.852436	0.02	8.52086e-07
1.15	-1.29949	0.725907	0.02	8.54083e-07
1.2	-1.26746	0.555318	0.02	8.54699e-07
1.25	-1.24485	0.349313	0.02	8.53868e-07
1.3	-1.23315	0.118513	0.02	8.51594e-07
1.35	-1.23331	-0.125037	0.02	8.47962e-07
1.4	-1.24565	-0.36841	0.02	8.43134e-07
1.45	-1.26982	-0.598332	0.02	8.37341e-07
1.5	-1.30482	-0.801743	0.02	8.30878e-07
1.55	-1.34902	-0.96641	0.02	8.24093e-07
1.6	-1.40023	-1.08162	0.02	8.17363e-07
1.65	-1.45574	-1.13894	0.02	8.11076e-07
1.7	-1.51254	-1.13291	0.02	8.05609e-07
1.75	-1.5674	-1.06164	0.02	8.01301e-07
1.8	-1.61712	-0.927159	0.02	7.98436e-07
1.85	-1.65868	-0.735368	0.02	7.97218e-07
1.9	-1.68946	-0.495766	0.02	7.97763e-07
1.95	-1.70738	-0.220866	0.02	8.00092e-07
2	-1.71104	0.0745217	0.02	8.04117e-07
2.05	-1.69982	0.374088	0.02	8.09663e-07
2.1	-1.67395	0.66084	0.02	8.16453e-07
2.15	-1.63448	0.917961	0.02	8.24131e-07
2.2	-1.58328	1.12974	0.02	8.32282e-07
2.25	-1.52298	1.28253	0.02	8.40448e-07
2.3	-1.45677	1.36582	0.02	8.48162e-07
2.35	-1.3883	1.37303	0.02	8.54974e-07
2.4	-1.32142	1.30218	0.02	8.60484e-07
2.45	-1.25996	1.15601	0.02	8.64356e-07
2.5	-1.20752	0.941765	0.02	8.66345e-07
2.55	-1.16721	0.670458	0.02	8.66299e-07
2.6	-1.14155	0.356056	0.02	8.64171e-07
2.65	-1.13228	0.0145933	0.02	8.6002e-07
2.7	-1.14033	-0.336563	0.02	8.54008e-07
2.75	-1.16573	-0.679301	0.02	8.46407e-07
2.8	-1.20759	-0.995275	0.02	8.37579e-07
2.85	-1.26414	-1.2665	0.02	8.2798e-07
2.9	-1.3327	-1.47616	0.02	8.18127e-07
2.95	-1.40985	-1.6097	0.02	8.08579e-07
3	-1.4915	-1.65607	0.02	7.99899e-07
3.05	-1.57312	-1.609	0.02	7.92616e-07
3.1	-1.65005	-1.46792	0.02	7.87188e-07
3.15	-1.7177	-1.23824	0.02	7.83975e-07
3.2	-1.77193	-0.931073	0.02	7.83222e-07
3.25	-1.80927	-0.562324	0.02	7.85032e-07
3.3	-1.82711	-0.151566	0.02	7.89378e-07
3.35	-1.82392	0.279143	0.02	7.96086e-07
3.4	-1.79929	0.706294	0.02	8.04846e-07
3.45	-1.75399	1.10586	0.02	8.15222e-07
3.5	-1.68998	1.4543	0.02	8.26663e-07
3.55	-1.61038	1.72979	0.02	8.38541e-07
3.6	-1.51929	1.91382	0.02	8.50181e-07
3.65	-1.42162	1.99286	0.02	8.60911e-07
3.7	-1.3228	1.9599	0.02	8.70112e-07
3.75	-1.22842	1.81528	0.02	8.77251e-07
3.8	-1.14388	1.56659	0.02	8.81913e-07
3.85	-1.07402	1.22757	0.02	8.83812e-07
3.9	-1.02292	0.816461	0.02	8.82799e-07
3.95	-0.993653	0.354294	0.02	8.78863e-07
4	-0.988206	-0.13642	0.02	8.72122e-07
4.05	-1.00743	-0.632388	0.02	8.62838e-07
4.1	-1.05098	-1.10973	0.02	8.51405e-07
4.15	-1.11732	-1.54405	0.02	8.38363e-07
4.2	-1.20369	-1.91077	0.02	8.24373e-07
4.25	-1.30612	-2.1862	0.02	8.10198e-07
4.3	-1.41951	-2.34942	0.02	7.96652e-07
4.35	-1.53786	-2.38479	0.02	7.84547e-07
4.4	-1.65459	-2.28435	0.02	7.74622e-07
4.45	-1.76294	-2.04945	0.02	7.67499e-07
4.5	-1.85645	-1.69087	0.02	7.63643e-07
4.55	-1.92941	-1.22758	0.02	7.63333e-07
4.6	-1.97721	-0.684503	0.02	7.66675e-07
4.65	-1.99658	-0.0903031	0.02	7.7358e-07
4.7	-1.98573	0.524325	0.02	7.83779e-07
4.75	-1.94443	1.12753	0.02	7.96816e-07
4.8	-1.87407	1.68678	0.02	8.12053e-07
4.85	-1.77767	2.16952	0.02	8.28692e-07
4.9	-1.65981	2.54475	0.02	8.45805e-07
4.95	-1.52655	2.78564	0.02	8.62414e-07
5	-1.38508	2.87305	0.02	8.77559e-07
5.05	-1.24329	2.79855	0.02	8.90384e-07
